Cues,Targets,FSG,BSG,Symm
WRINKLE,STRAIGHT,0.01,0,0.010
WRITER,FICTION,0.01,0,0.010
WRITER,JOURNALIST,0.01,0,0.010
WRITER,READ,0.01,0,0.010
WRITER,REPORTER,0.01,0,0.010
WRITER,STORY,0.01,0,0.010
WRITER,WORDS,0.01,0,0.010
ADD,JOIN,0.011,0,0.011
ADD,MORE,0.011,0,0.011
ADMIRE,BEAUTIFUL,0.011,0,0.011
ADMIRE,CUTE,0.011,0,0.011
ADMIRE,DISLIKE,0.011,0,0.011
ADORN,CHRISTMAS,0.011,0,0.011
ADORN,COVER,0.011,0,0.011
ADORN,CROWN,0.011,0,0.011
ADORN,FIX,0.011,0,0.011
ADORN,GIVE,0.011,0,0.011
ADORN,PLACE,0.011,0,0.011
ADORN,PRETTY,0.011,0,0.011
ADORN,SHOWER,0.011,0,0.011
ADORN,TREE,0.011,0,0.011
ALLOW,CAN,0.011,0,0.011
ALLOW,FREE,0.011,0,0.011
ALLOW,FREEDOM,0.011,0,0.011
ALLOW,GIVE,0.011,0,0.011
ALLOW,MAKE,0.011,0,0.011
ALLOW,OKAY,0.011,0,0.011
ALLOW,REFUSE,0.011,0,0.011
ALLOW,RESTRICTION,0.011,0,0.011
ALLOW,YES,0.011,0,0.011
AMUSE,AMAZE,0.011,0,0.011
AMUSE,ENJOY,0.011,0,0.011
AMUSE,SMILE,0.011,0,0.011
ANIMAL,MAN,0.011,0,0.011
ANIMAL,MINERAL,0.011,0,0.011
APPEAR,BECOME,0.011,0,0.011
APPEAR,HAPPEN,0.011,0,0.011
APPEAR,HERE,0.011,0,0.011
APPEAR,HIDE,0.011,0,0.011
APPEAR,LEAVE,0.011,0,0.011
APPEAR,STAGE,0.011,0,0.011
APPRAISE,INSURANCE,0.011,0,0.011
APPRAISE,LOOK,0.011,0,0.011
ASHES,CIGAR,0.011,0,0.011
