CUE,TARGET, QSS, TSS
ADMIT,TELL,18,19
ADMIT,DENY,18,18
ADMIT,GUILT,18,19
ADMIT,LIE,18,18
ADMIT,TRUTH,18,17
ADMIT,WRONG,18,6
ADMIT,ALLOW,18,16
ADMIT,ENTER,18,8
ADMIT,GIVE,18,13
ADMIT,SAY,18,13
ADMIT,AGREE,18,11
ADMIT,GUILTY,18,18
ADMIT,ONE,18,6
ADMIT,ADMISSION,18,16
ADMIT,ANSWER,18,9
ADMIT,BLAME,18,22
ADMIT,HONEST,18,18
ADOLESCENT,CHILD,8,15
ADOLESCENT,TEENAGER,8,22
ADOLESCENT,YOUNG,8,9
ADOLESCENT,ADULT,8,12
ADOLESCENT,YOUTH,8,8
ADOLESCENT,PUBERTY,8,24
ADOLESCENT,KID,8,12
ADOLESCENT,JUVENILE,8,12
ADORABLE,CUTE,8,18
ADORABLE,BABY,8,19
ADORABLE,PRETTY,8,11
ADORABLE,PUPPY,8,7
ADORABLE,LOVABLE,8, NULL
ADORABLE,CUDDLY,8, NULL
ADORABLE,KITTEN,8,6
ADORABLE,TEDDYBEAR,8, NULL
ADORE,LOVE,7,18
ADORE,LIKE,7,16
ADORE,ADMIRE,7,17
ADORE,CUTE,7,18
ADORE,CARE,7,18
ADORE,HATE,7,12
ADORE,PEOPLE,7,18
ADORN,DECORATE,23,25
ADORN,LOVE,23,18
ADORN,HAIRSPRAY,23,19
ADORN,ADMIRE,23,17
ADORN,DRESS,23,15
ADORN,JEWELRY,23,13
ADORN,ORNAMENT,23,9
ADORN,JEWEL,23,20
ADORN,LIKE,23,16
ADORN,WORSHIP,23,14
ADORN,PRAISE,23,21
ADORN,WEAR,23,16
ADORN,CHRISTMAS,23,13
ADORN,COVER,23,23
ADORN,CROWN,23,8
ADORN,FIX,23,9
ADORN,GIVE,23,13
ADORN,LAVISH,23, NULL
ADORN,PLACE,23,22
ADORN,PRETTY,23,11
ADORN,PUTON,23, NULL
ADORN,SHOWER,23,17
ADORN,TREE,23,21
ADULT,CHILD,12,15
ADULT,PARENT,12,10
ADULT,KID,12,12
ADULT,MATURE,12,15
ADULT,OLD,12,9
ADULT,RESPONSIBLE,12,17
ADULT,EIGHTEEN,12, NULL
ADULT,GROWN,12,16
ADULT,MOTHER,12,13
ADULT,PERSON,12,14
ADULT,FATHER,12,4
ADULT,YOUTH,12,8
ADULTERY,CHEAT,11,18
