"cues","BOI","Concrete","SUBTLEX","AoA","n"
"bridesmaid",5.08,4.41,2.1004,8.47,11
"bridge",5.52173913,4.97,3.3677,5.58,17
"briefcase",6.25,4.86,2.6425,6.37,15
"briefs",5.64,4.33,1.6335,NA,17
"brisket",5.291666667,4.61,1.6812,12.11,18
"broach",5.041666667,3.74,1.3802,10.72,18
"broccoli",5.04,4.87,2.0682,5.2,23
"brochure",6.2,4.76,1.9912,9.58,23
"broiler",5.25,4.83,1.0414,9.63,15
"broker",4.464285714,4.03,2.2695,10.94,14
"brooch",5.130434783,4.19,1.8325,10.71,17
"broom",6.416666667,4.89,2.3874,5.5,22
"broomstick",6.043478261,4.8,1.6435,6.11,12
"broth",5.321428571,4.68,1.6628,9,21
"brother",5.043478261,4.43,4.1608,3.63,16
"brow",4.416666667,4.39,1.9777,9.82,14
"brush",6.043478261,4.54,2.8591,3.78,10
"brushes",4.857142857,4.67,1.8633,NA,18
"bubble",4.64,4.6,2.6117,3.79,16
"buck",4.291666667,4.67,3.236,7.68,16
"bucket",6,4.96,2.7093,5.61,21
"buckle",4.846153846,4.71,2.4116,6.42,18
"buckwheat",4.44,4.54,1.3979,8.69,13
"buddy",4.916666667,3.48,3.72,5.37,17
"buffalo",4.692307692,4.83,2.7839,6.7,19
"buffet",5.409090909,4.67,2.356,7.58,18
"bug",5.296296296,5,3.029,3.79,18
"bugle",4.541666667,4.84,1.9494,8.88,14
"builder",4.826086957,3.97,1.6902,5.95,14
"building",5.208333333,4.64,3.7058,6.16,14
"bulb",5.391304348,4.93,2.3032,6.56,23
"bulldozer",4.565217391,4.9,1.8261,5.61,14
"bullet",5.772727273,4.83,3.2903,6.7,18
"bullfighter",4.6,4.7,1.5441,8.78,16
"bullfrog",4.884615385,4.9,1.4314,6.33,17
"bully",4.857142857,3.92,2.567,6.05,19
"bum",4.346153846,4.21,2.8965,8.11,17
"bun",5.916666667,4.88,2.1703,5.79,24
"bunion",4.36,4.64,1.5563,10.37,13
"bunk",4.260869565,4.3,2.5065,5.62,12
"bunkhouse",4.625,4.37,1.6232,10.2,16
"bunkmate",4.458333333,4,1.0792,10.74,18
"bunny",4.5,4.97,2.9763,4.5,15
"buoy",5.125,4.57,1.7853,9.76,16
"burger",6.111111111,4.93,2.7185,5.17,17
"burglar",4.260869565,4.44,2.4518,7,15
"burlap",5.333333333,4.78,1.0792,10.28,13
"bus",5.192307692,4.9,3.578,3.85,17
"bush",4.8,4.9,2.8579,4.9,14
"businessman",5.25,4.47,2.6075,9.38,14
"businesswoman",5.08,4.35,1.415,11.11,20
"busman",4.68,3.91,0.6021,11.93,16
"butcher",4.739130435,4.65,2.6385,7.9,19
"butt",5.652173913,4.75,3.294,3.73,20
"butter",6.217391304,4.9,3.0183,5.78,20
"buttercup",5.48,4.71,2.0864,6.9,13
"buttermilk",4.826086957,4.68,1.7993,7.6,18
"butterscotch",4.769230769,4.58,1.415,6.78,15
"buttock",5.25,4.79,1.2553,10.44,16
"buttocks",6.434782609,4.83,1.9731,7.72,15
"button",6.153846154,4.96,3.159,4.78,13
