"Cue","Target","AFS","AFSS","FSG","COS"
"almond","put in",0.029411765,23,NA,NA
"almond","share",0.029411765,23,NA,NA
"almond","shave",0.029411765,23,NA,NA
"almond","smash",0.029411765,23,NA,NA
"almond","snack",0.088235294,23,NA,NA
"almond","spit",0.029411765,23,NA,NA
"almond","topping",0.029411765,23,NA,NA
"almond","trade",0.029411765,23,NA,NA
"almond","turn",0.029411765,23,NA,NA
"altar","ceremony",0.034482759,19,NA,NA
"altar","cover",0.034482759,19,NA,NA
"altar","cry",0.034482759,19,NA,NA
"altar","decorate",0.034482759,19,NA,NA
"altar","destroy",0.034482759,19,NA,NA
"altar","look",0.034482759,19,NA,NA
"altar","marriage",0.034482759,19,NA,NA
"altar","marry",0.137931034,19,NA,NA
"altar","praise",0.034482759,19,NA,NA
"altar","pray",0.137931034,19,NA,NA
"altar","preach",0.034482759,19,NA,NA
"altar","sacrifice",0.068965517,19,NA,NA
"altar","service",0.034482759,19,NA,NA
"altar","stand",0.068965517,19,NA,NA
"altar","take",0.034482759,19,NA,NA
"altar","walk",0.068965517,19,NA,NA
"altar","wed",0.034482759,19,NA,NA
"altar","wedding",0.068965517,19,NA,NA
"altar","worship",0.034482759,19,NA,NA
"altarpiece","adorn",0.028571429,22,NA,NA
"altarpiece","ceremony",0.028571429,22,NA,NA
"altarpiece","decorate",0.085714286,22,NA,NA
"altarpiece","depict",0.028571429,22,NA,NA
"altarpiece","destroy",0.028571429,22,NA,NA
"altarpiece","hold",0.028571429,22,NA,NA
"altarpiece","hug",0.028571429,22,NA,NA
"altarpiece","kiss",0.028571429,22,NA,NA
"altarpiece","lay",0.028571429,22,NA,NA
"altarpiece","lean",0.028571429,22,NA,NA
"altarpiece","look",0.114285714,22,NA,NA
"altarpiece","observe",0.085714286,22,NA,NA
"altarpiece","organize",0.028571429,22,NA,NA
"altarpiece","place",0.085714286,22,NA,NA
"altarpiece","pray",0.085714286,22,NA,NA
