"Cue","Target","AFS","FSG","COS"
"adult","work",0.0192307692307692,NA,NA
"advisor","advice",0.134146341463415,NA,NA
"advisor","ask",0.0731707317073171,NA,NA
"advisor","assist",0.0365853658536585,NA,NA
"advisor","call",0.0121951219512195,NA,NA
"advisor","communicate",0.0121951219512195,NA,NA
"advisor","compliment",0.0121951219512195,NA,NA
"advisor","counsel",0.0121951219512195,NA,NA
"advisor","decide",0.0121951219512195,NA,NA
"advisor","email",0.024390243902439,NA,NA
"advisor","engage",0.0121951219512195,NA,NA
"advisor","guide",0.024390243902439,NA,NA
"advisor","health",0.0121951219512195,NA,NA
"advisor","hear",0.0121951219512195,NA,NA
"advisor","help",0.0975609756097561,NA,NA
"advisor","inform",0.0121951219512195,NA,NA
"advisor","interview",0.0121951219512195,NA,NA
"advisor","invest",0.0121951219512195,NA,NA
"advisor","listen",0.0121951219512195,NA,NA
"advisor","manage",0.0121951219512195,NA,NA
"advisor","meet",0.0121951219512195,NA,NA
"advisor","mentor",0.0365853658536585,NA,NA
"advisor","observe",0.0121951219512195,NA,NA
"advisor","pay",0.0121951219512195,NA,NA
"advisor","phone",0.0121951219512195,NA,NA
"advisor","plan",0.0365853658536585,NA,NA
"advisor","prepare",0.0121951219512195,NA,NA
"advisor","question",0.024390243902439,NA,NA
"advisor","recommend",0.0121951219512195,NA,NA
"advisor","resource",0.0121951219512195,NA,NA
"advisor","schedule",0.0365853658536585,NA,NA
"advisor","see",0.0121951219512195,NA,NA
"advisor","speak",0.0609756097560976,NA,NA
"advisor","support",0.0121951219512195,NA,NA
"advisor","talk",0.121951219512195,NA,NA
"advisor","tell",0.0121951219512195,NA,NA
"advisor","utilize",0.0121951219512195,NA,NA
"afro","admire",0.037037037037037,NA,NA
"afro","braid",0.0185185185185185,NA,NA
"afro","brush",0.037037037037037,NA,NA
"afro","care",0.0185185185185185,NA,NA
"afro","clean",0.037037037037037,NA,NA
"afro","color",0.0185185185185185,NA,NA
"afro","comb",0.185185185185185,NA,NA
"afro","comfort",0.0185185185185185,NA,NA
"afro","curl",0.0185185185185185,NA,NA
"afro","cut",0.0555555555555556,NA,NA
"afro","dry",0.0740740740740741,NA,NA
"afro","dye",0.0185185185185185,NA,NA
"afro","maintain",0.0185185185185185,NA,NA
"afro","pick",0.0925925925925926,NA,NA
"afro","play",0.0185185185185185,NA,NA
"afro","show",0.0185185185185185,NA,NA
"afro","straighten",0.037037037037037,NA,NA
"afro","style",0.166666666666667,NA,NA
"afro","touch",0.0185185185185185,NA,NA
"afro","wash",0.0555555555555556,NA,NA
"afro","wear",0.037037037037037,NA,NA
"aftershave","apply",0.0212765957446809,NA,NA
"aftershave","bin",0.0212765957446809,NA,NA
"aftershave","buy",0.106382978723404,NA,NA
"aftershave","clean",0.0425531914893617,NA,NA
"aftershave","cool",0.0212765957446809,NA,NA
"aftershave","craft",0.0212765957446809,NA,NA
"aftershave","drink",0.0212765957446809,NA,NA
"aftershave","gift",0.0212765957446809,NA,NA
"aftershave","moisturize",0.0212765957446809,NA,NA
"aftershave","pour",0.0212765957446809,NA,NA
"aftershave","protect",0.0212765957446809,NA,NA
"aftershave","rinse",0.0212765957446809,NA,NA
"aftershave","rub",0.0425531914893617,NA,NA
"aftershave","scoop",0.0212765957446809,NA,NA
"aftershave","sell",0.0425531914893617,NA,NA
"aftershave","shave",0.170212765957447,NA,NA
"aftershave","smell",0.106382978723404,NA,NA
"aftershave","spray",0.0638297872340425,NA,NA
"aftershave","throw",0.0212765957446809,NA,NA
"aftershave","touch",0.0212765957446809,NA,NA
"aftershave","wash",0.0425531914893617,NA,NA
"aftershave","wear",0.106382978723404,NA,NA
"aircraft","build",0.0161290322580645,NA,NA
"aircraft","buy",0.0161290322580645,NA,NA
"aircraft","carry",0.0161290322580645,NA,NA
"aircraft","clean",0.0161290322580645,NA,NA
"aircraft","control",0.0161290322580645,NA,NA
"aircraft","crash",0.0483870967741935,NA,0.041471279
"aircraft","drink",0.0161290322580645,NA,NA
"aircraft","eat",0.0161290322580645,NA,NA
"aircraft","escape",0.0161290322580645,NA,NA
"aircraft","flow",0.0161290322580645,NA,NA
"aircraft","fly",0.274193548387097,0.088,0.349064806
"aircraft","hide",0.0161290322580645,NA,NA
