Cue,Target,AFS,AFSS
announcer,explain,0.052631579,14
announcer,hear,0.052631579,14
announcer,host,0.052631579,14
announcer,hype,0.052631579,14
announcer,inform,0.052631579,14
announcer,listen,0.052631579,14
announcer,pay,0.052631579,14
announcer,sit,0.052631579,14
announcer,speak,0.105263158,14
announcer,talk,0.210526316,14
ant,analyze,0.032258065,27
ant,befriend,0.032258065,27
ant,bite,0.064516129,27
ant,build,0.064516129,27
ant,carry,0.032258065,27
ant,collect,0.032258065,27
ant,colonize,0.032258065,27
ant,control,0.032258065,27
ant,create,0.064516129,27
ant,crush,0.032258065,27
ant,eat,0.032258065,27
ant,experiment,0.032258065,27
ant,farm,0.064516129,27
ant,feed,0.032258065,27
ant,fertilize,0.032258065,27
ant,find,0.032258065,27
ant,food,0.032258065,27
ant,free,0.032258065,27
ant,kill,0.032258065,27
ant,live,0.032258065,27
